,train structures,test structures,train mae ,train mape,train r2,train pearson,train spearman,test mae ,test mape,test r2,test pearson,test spearman
51,complete,ladder_cycle_path_,24884.70600078463,0.3090360155359895,-0.2945882291412798,0.710306751866278,0.7359263677054707,211624.10982815325,7.842960441739719,-112.9242114924921,0.894002861851453,0.8869278548456774
52,complete,random_binomial_cycle_,24884.70600078463,0.3090360155359895,-0.2945882291412798,0.710306751866278,0.7359263677054707,154609.58411354656,7.398248693466349,-177.69735479263426,0.47667025192583556,0.5167298036768588
53,complete,random_binomial_path_,24884.70600078463,0.3090360155359895,-0.2945882291412798,0.710306751866278,0.7359263677054707,152659.44120124614,7.429088121111132,-137.62048045923635,0.4985493288394463,0.5848724619593912
54,complete,random_cycle_path_,24884.70600078463,0.3090360155359895,-0.2945882291412798,0.710306751866278,0.7359263677054707,151798.43124982849,7.063175179997599,-173.64123841623655,0.4139568225197169,0.36178793260692166
55,complete,binomial_cycle_path_,24884.70600078463,0.3090360155359895,-0.2945882291412798,0.710306751866278,0.7359263677054707,152913.46944465965,9.069543560264915,-499.6167461201023,0.7193043758818148,0.5326867949887197
56,complete,ladder_random_binomial_cycle_,24884.70600078463,0.3090360155359895,-0.2945882291412798,0.710306751866278,0.7359263677054707,192384.32035121418,6.882353288119381,-114.86664845453433,0.7954590301207008,0.7269708635338165
57,complete,ladder_random_binomial_path_,24884.70600078463,0.3090360155359895,-0.2945882291412798,0.710306751866278,0.7359263677054707,188967.11941406984,6.884832813862542,-134.43900750560195,0.7638696178143894,0.7330988335813372
58,complete,ladder_random_cycle_path_,24884.70600078463,0.3090360155359895,-0.2945882291412798,0.710306751866278,0.7359263677054707,191039.0552276295,6.546583987295242,-90.34104149912832,0.7779428491412427,0.7064380550088801
59,complete,ladder_binomial_cycle_path_,24884.70600078463,0.3090360155359895,-0.2945882291412798,0.710306751866278,0.7359263677054707,195173.59131631113,8.005799497731626,-106.27628674340443,0.8808293095362154,0.8181945951135219
60,complete,random_binomial_cycle_path_,24884.70600078463,0.3090360155359895,-0.2945882291412798,0.710306751866278,0.7359263677054707,155433.72889449738,8.114547399347671,-191.6511008301648,0.4982304905306549,0.5530575529208467
